TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Banners                                                                                                                          id                                                                                                                               int                                                                                                                                                  NULL NO         
Banners                                                                                                                          title                                                                                                                            nvarchar                                                                                                                                              200 NO         
Banners                                                                                                                          description                                                                                                                      nvarchar                                                                                                                                              500 YES        
Banners                                                                                                                          image                                                                                                                            nvarchar                                                                                                                                              500 NO         
Banners                                                                                                                          link                                                                                                                             nvarchar                                                                                                                                              500 YES        
Banners                                                                                                                          active                                                                                                                           bit                                                                                                                                                  NULL YES        
Banners                                                                                                                          display_order                                                                                                                    int                                                                                                                                                  NULL YES        
Banners                                                                                                                          created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Banners                                                                                                                          updated_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Categories                                                                                                                       id                                                                                                                               int                                                                                                                                                  NULL NO         
Categories                                                                                                                       name                                                                                                                             nvarchar                                                                                                                                              100 NO         
Categories                                                                                                                       slug                                                                                                                             nvarchar                                                                                                                                               50 NO         
Categories                                                                                                                       icon                                                                                                                             nvarchar                                                                                                                                               50 YES        
Categories                                                                                                                       color                                                                                                                            nvarchar                                                                                                                                               20 YES        
Categories                                                                                                                       image                                                                                                                            nvarchar                                                                                                                                               -1 YES        
Categories                                                                                                                       description                                                                                                                      nvarchar                                                                                                                                              500 YES        
Categories                                                                                                                       created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Categories                                                                                                                       updated_at                                                                                                                       datetime                                                                                                                                             NULL YES        
Images                                                                                                                           id                                                                                                                               int                                                                                                                                                  NULL NO         
Images                                                                                                                           public_id                                                                                                                        nvarchar                                                                                                                                              500 NO         
Images                                                                                                                           url                                                                                                                              nvarchar                                                                                                                                             1000 NO         
Images                                                                                                                           original_name                                                                                                                    nvarchar                                                                                                                                              255 YES        
Images                                                                                                                           size                                                                                                                             int                                                                                                                                                  NULL YES        
